wind_scen,price_scen,imb_scen,profit_EUR
w4,p13,i3,723959.7391103724
w4,p13,i4,725940.2760019947
w4,p14,i1,559544.9462413564
w4,p14,i2,557204.0192047872
w4,p14,i3,562197.2711801862
w4,p14,i4,562186.5699235372
w4,p15,i1,255214.5181888298
w4,p15,i2,253947.57616422873
w4,p15,i3,255842.9167898936
w4,p15,i4,254873.20592021276
w4,p16,i1,363849.58979654254
w4,p16,i2,363709.9073617021
w4,p16,i3,367568.7222406915
w4,p16,i4,369063.0218025266
w4,p17,i1,289922.72173603723
w4,p17,i2,286598.77559109044
w4,p17,i3,289981.79178590426
w4,p17,i4,287524.7156868351
w4,p18,i1,598866.3631030585
w4,p18,i2,596941.6988051862
w4,p18,i3,602436.9049973404
w4,p18,i4,603364.3423164893
w4,p19,i1,277552.25206449465
w4,p19,i2,274667.46458111703
w4,p19,i3,277069.55004720745
w4,p19,i4,274928.2879168883
w4,p20,i1,81200.96410704788
w4,p20,i2,80281.72334042554
w4,p20,i3,80945.12460571808
w4,p20,i4,80368.84955385639
w5,p1,i1,199070.56766289892
w5,p1,i2,181340.36518417552
w5,p1,i3,188030.20916223404
w5,p1,i4,168735.2110405585
w5,p2,i1,128507.34851728723
w5,p2,i2,115776.29428590425
w5,p2,i3,121733.00151595745
w5,p2,i4,106605.37513630319
w5,p3,i1,149199.1756449468
w5,p3,i2,138881.37138297872
w5,p3,i3,144993.81782247341
w5,p3,i4,133830.87610704786
w5,p4,i1,182145.67780585107
w5,p4,i2,163391.0150019947
w5,p4,i3,168614.04229055851
w5,p4,i4,145328.98324468086
w5,p5,i1,176845.16656914895
w5,p5,i2,162493.9983976064
w5,p5,i3,170882.26259640956
w5,p5,i4,153906.67970079786
w5,p6,i1,208455.80926529254
w5,p6,i2,190014.64406050532
w5,p6,i3,199435.83703789895
w5,p6,i4,178033.38617021276
w5,p7,i1,161806.03379654256
w5,p7,i2,145806.25007180852
w5,p7,i3,154918.65895611703
w5,p7,i4,136672.20857712766
w5,p8,i1,11324.85881981383
w5,p8,i2,10354.77535305851
w5,p8,i3,11307.274873670212
w5,p8,i4,9456.994956781917
w5,p9,i1,7564.334072473404
w5,p9,i2,6959.793492686171
w5,p9,i3,6974.212061170213
w5,p9,i4,6169.053690159575
w5,p10,i1,57487.12881981383
w5,p10,i2,52445.59159906915
w5,p10,i3,53402.750325797875
w5,p10,i4,45676.039936835106
w5,p11,i1,168428.9101961436
w5,p11,i2,154982.64476795212
w5,p11,i3,161890.83464095744
w5,p11,i4,146070.13481715426
w5,p12,i1,219485.31494015956
w5,p12,i2,201579.47541023936
w5,p12,i3,208189.21111037233
w5,p12,i4,187530.7467287234
w5,p13,i1,274383.62894281914
w5,p13,i2,250823.11863896277
w5,p13,i3,258865.29975398935
w5,p13,i4,231970.87018284574
w5,p14,i1,218556.84464095745
w5,p14,i2,199409.5356988032
w5,p14,i3,206779.64552194148
w5,p14,i4,184286.5272706117
w5,p15,i1,90557.91718417553
w5,p15,i2,80453.40806117022
w5,p15,i3,84082.02490359043
w5,p15,i4,71564.60667220745
w5,p16,i1,155461.30945146276
w5,p16,i2,144049.61732579785
w5,p16,i3,150369.85835771274
w5,p16,i4,136827.2691755319
w5,p17,i1,118186.0422406915
w5,p17,i2,107371.2527819149
w5,p17,i3,110527.21293550533
w5,p17,i4,97004.02304521279
w5,p18,i1,236740.65300531915
w5,p18,i2,216596.02196808512
w5,p18,i3,225494.96803523935
w5,p18,i4,203356.20254654257
w5,p19,i1,108049.04934175532
w5,p19,i2,96877.14385172873
w5,p19,i3,101482.86836436171
w5,p19,i4,88223.27245678191
w5,p20,i1,30168.30899933511
w5,p20,i2,26528.97760638298
w5,p20,i3,28074.686901595745
w5,p20,i4,24484.218271276597
w6,p1,i1,564116.7087865692
w6,p1,i2,565890.5975019947
w6,p1,i3,566669.3028776596
w6,p1,i4,570914.2450259308
w6,p2,i1,425353.3724507979
w6,p2,i2,427418.17439960106
w6,p2,i3,425338.73129388294
w6,p2,i4,431679.8723005319
w6,p3,i1,315646.50470013294
w6,p3,i2,314567.3742632979
w6,p3,i3,314430.16523071803
w6,p3,i4,314990.46048936166
w6,p4,i1,645455.976587766
w6,p4,i2,649770.9359408244
w6,p4,i3,647472.6010046543
w6,p4,i4,656805.5553284575
w6,p5,i1,463261.84737101063
w6,p5,i2,464220.8193510638
w6,p5,i3,463589.004505984
w6,p5,i4,467897.2805944149
w6,p6,i1,587576.6432426862
w6,p6,i2,589686.1033537234
w6,p6,i3,587869.5122227394
w6,p6,i4,594510.7653863032
w6,p7,i1,503561.5959767287
w6,p7,i2,506377.61289162235
w6,p7,i3,504271.78921874997
w6,p7,i4,512443.50533577125
w6,p8,i1,44952.22975332447
w6,p8,i2,45086.98783710106
w6,p8,i3,44636.12611037234
w6,p8,i4,45467.156153590426
w6,p9,i1,21893.12440093085
w6,p9,i2,21878.326269281915
w6,p9,i3,21827.504579122342
w6,p9,i4,22176.586733377662
w6,p10,i1,198875.90711835105
w6,p10,i2,199380.34725664894
w6,p10,i3,198489.99378590425
w6,p10,i4,201843.7201256649
w6,p11,i1,432090.9197360372
w6,p11,i2,432164.0512918883
w6,p11,i3,432167.1066230053
w6,p11,i4,435090.8532047872
w6,p12,i1,620475.2283118351
w6,p12,i2,621874.5491183511
w6,p12,i3,621284.8750079788
w6,p12,i4,627015.0528843085
w6,p13,i1,804543.9699268617
w6,p13,i2,807696.6736602393
w6,p13,i3,806415.2152001329
w6,p13,i4,814993.5986702128
w6,p14,i1,662735.5636316489
w6,p14,i2,664686.0032632978
w6,p14,i3,663510.4915578457
w6,p14,i4,670991.0764760638
w6,p15,i1,357999.69087034574
w6,p15,i2,361125.6158304521
w6,p15,i3,359364.60721143615
w6,p15,i4,366098.08151795215
w6,p16,i1,380736.04702327127
w6,p16,i2,380599.4211595745
w6,p16,i3,381016.1366735372
w6,p16,i4,383416.17596343084
w6,p17,i1,396850.0898776596
w6,p17,i2,398810.01055585104
w6,p17,i3,396767.5644148936
w6,p17,i4,402334.15372672875
w6,p18,i1,671687.6225538563
w6,p18,i2,673869.839068484
w6,p18,i3,672534.2382307181
w6,p18,i4,678734.0752154255
w6,p19,i1,398534.1337878989
w6,p19,i2,401251.6221881649
w6,p19,i3,398986.00795146276
w6,p19,i4,405620.1133836436
w6,p20,i1,125175.42259175533
w6,p20,i2,126066.28104321808
w6,p20,i3,125711.15607646276
w6,p20,i4,127152.11604188831
w7,p1,i1,533898.8949933511
w7,p1,i2,534136.7983736702
